"","log_funds_lost","log_funds_returned","scamNetworks","month_of_attack","day_of_week_of_attack","day_of_year_of_attack","scam_type_grouped"
"417",10.2487425362453,0,"Avax","7","3",188,"Exit Scam"
"418",13.4011141845792,0,"Binance","2","4",56,"Exploit"
"419",10.7579028806922,0,"Binance","5","5",127,"Exploit"
"420",18.3041469276964,0,"Ethereum","11","3",331,"Exploit"
"421",9.10409057213347,0,"Ethereum","12","1",343,"Exit Scam"
"422",12.8131171270367,12.8131198518286,"Ethereum","4","6",94,"Exploit"
"423",12.0476863414312,12.0476921995076,"Ethereum","10","5",296,"Exploit"
"424",10.1570827113062,0,"Ethereum","9","3",261,"Exit Scam"
"425",14.6256973868256,0,"Ethereum","7","4",189,"Exploit"
"426",12.7687238220091,0,"Ethereum","6","4",175,"Exploit"
"427",10.7144177687525,0,"CEX","2","5",51,"Exploit"
"428",16.4896592073908,0,"Ethereum","4","5",92,"Exploit"
"429",16.3273013196918,0,"Ethereum","12","1",336,"Exit Scam"
"430",9.71980507010283,0,"Ethereum","3","4",71,"Exit Scam"
"431",8.7681075396758,0,"Ethereum","12","6",348,"Exit Scam"
"432",12.7549250007061,0,"Binance","4","4",91,"Exit Scam"
"433",10.1838050731249,0,"Ethereum","12","1",343,"Exit Scam"
"434",11.5129254649702,0,"CEX","5","2",142,"Exploit"
"435",10.7685902476408,0,"Ethereum","12","5",361,"Exit Scam"
"436",15.3195879547405,0,"Binance","7","0",206,"Exit Scam"
"437",8.35983738064003,0,"Ethereum","12","1",357,"Exit Scam"
"438",15.8696342916598,15.5733686479304,"Ethereum","12","4",353,"Exploit"
"439",13.389242051956,0,"Binance","11","4",330,"Exploit"
"440",12.4602031050706,0,"Binance","1","1",18,"Exploit"
"441",10.3548815925327,0,"Binance","10","2",279,"Exploit"
"442",11.2724195564773,0,"Binance","8","2",243,"Exploit"
"443",15.7447714454926,0,"Ethereum","8","3",224,"Exploit"
"444",13.9140591248918,0,"Ethereum","12","1",348,"Exploit"
"445",15.8833498025458,0,"Ethereum","7","5",191,"Exploit"
"446",12.478889780208,0,"Ethereum","6","5",155,"Exploit"
"447",17.5043900120782,0,"CEX","6","6",161,"Exploit"
"448",11.0429218357245,0,"Fantom","7","4",182,"Exploit"
"449",12.8992198260901,0,"Binance","6","5",162,"Exit Scam"
"450",10.6437568401648,0,"Ethereum","12","0",356,"Exit Scam"
"451",13.4588356140255,0,"Binance","3","6",79,"Exploit"
"452",6.39359075395063,0,"Ethereum","12","0",342,"Exit Scam"
"453",17.281246460764,0,"Binance","5","6",143,"Exit Scam"
"454",17.1267115300385,0,"Ethereum","3","4",64,"Exploit"
"455",14.4399885646415,0,"Ethereum","2","0",39,"Exploit"
"456",10.1028300936644,0,"EOS","9","4",260,"Exploit"
"457",11.053869688689,0,"Binance","4","5",100,"Exit Scam"
"458",14.8184973837983,14.7408803501565,"Ethereum","1","1",18,"Exploit"
"459",11.2558113940849,0,"Ethereum","2","0",39,"Exit Scam"
"460",14.6892824398061,14.6892828571803,"Polygon","7","4",197,"Exploit"
"461",12.5036369772114,0,"Ethereum","7","1",194,"Exploit"
"462",15.0682735264596,0,"Binance","5","4",147,"Exit Scam"
"463",14.9141228466324,0,"Algorand","1","5",1,"Exploit"
"464",16.4545678875795,0,"Ethereum","3","0",60,"Exploit"
