logo src,project_name,project_link,chain_platform,category,issue,funds_lost,date
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61169924168ca.jpeg,Maze Protocol,https://www.mazeprotocol.com/,BSC,,Exploit,"$4,000,000 ",11.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62c34890800dd.jpeg,XCarnival,https://app.xcarnival.fi/,ETH,,Exploit,"$3,837,110 ",26.06.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6115398db28d8.png,DODO,https://dodoex.io/,ETH,Exchange (DEX),Exploit,"$3,800,000 ",09.03.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61125e84da945.jpeg,Bogged Finance,https://bogged.finance/,BSC,Exchange (DEX),Flash Loan Attack,"$3,642,100 ",22.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6245c27621b52.png,Ola.finance,https://ola.finance/,,,Exploit,"$3,600,000 ",31.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62e279ff622cb.png,Nirvana Finance,https://www.nirvana.finance/,SOLANA,Stablecoin,Flash loan,"$3,574,635 ",28.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62f504ba13641.png,Dragoma,,POLYGON,Token,Exit Scam,"$3,500,000 ",07.08.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6294d7455ba1f.png,PokeMoney,https://pokemoney.info/,BSC,,Exit Scam,"$3,500,000 ",27.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6203bc4264a68.jpeg,Hundred Finance,https://hundred.finance/,MOVR,Borrowing and Lending,Exploit,"$3,300,000 ",06.02.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60eedaa5bfe10.jpeg,Cheese Bank,https://cheesebank.io/,ETH,Borrowing and Lending,Flash Loan Attack,"$3,300,000 ",06.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60d5b89875975.png,HoneySwap.Fi,https://honeyswap.fi/,BSC,,Exit Scam,"$3,280,848 ",28.02.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61bcba19a30bc.jpeg,Ref Finance,https://app.ref.finance/,,Exchange (DEX),Exploit,"$3,202,539 ",15.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/613f4894450ee.png,Zabu Finance,https://zabu.finance/,AVAX,,Exploit,"$3,200,000 ",12.09.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6213ad9509911.png,OpenSea (2),https://opensea.io/,ETH,,Access control,"$3,056,651 ",20.02.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6230dae723049.jpeg,DEUS Finance,https://deus.finance/,FANTOM,Other,Flash Loan Attack,"$3,024,325 ",15.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6182ac588c6a2.jpeg,Vesper Finance,https://vesper.finance/,ETH,,Exploit,"$3,003,942 ",02.11.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e587afa47bd.png,PolkaTrain,http://www.polkatrain.com/,POLKADOT,,Exploit,"$3,000,000 ",05.04.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e0496b2c10e.jpeg,Tinyman,https://tinyman.org/,ALGO,,Exploit,"$3,000,000 ",01.01.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6144abb6a1b2b.png,SushiSwap,https://app.sushi.com/miso,ETH,Exchange (DEX),Exploit,"$2,993,606 ",16.09.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62836d815be1e.png,Fortress Loans,https://bsc.fortress.loans/dashboard,ETH,,Exploit,"$2,976,004 ",08.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62431fccbe5de.jpeg,IOTA wallet,https://www.iota.org/,,,Exploit,"$2,910,000 ",12.02.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60d5b906be415.png,Wallstreetswap Finance,https://wallstreetswap.finance/,BSC,,Exit Scam,"$2,905,021 ",15.02.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61eabed98a353.png,MetaDAO,,ETH,Token,Honeypot,"$2,826,509 ",26.12.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e97c6e4df1e.jpeg,Multichain (Anyswap),https://multichain.org/,ETH,,Exploit,"$2,726,413 ",18.01.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61f2c1dce6da2.png,IDO rug pulls,,BSC,,Exit Scam,"$2,661,699 ",12.01.2022
